model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,2-6B,1,4096,4096,475.68897247314453,3046.8505859375,30.0,60.0,40.0,334.0,0.015625,20.0,270.0,LanguageModelEmbedding
gpt,2-6B,2,4096,4096,1118.3309173583984,3711.754150390625,60.0,140.0,80.0,378.0,0.03125,40.0,270.0,LanguageModelEmbedding
gpt,2-6B,4,4096,4096,2214.8095703125,4519.4854736328125,120.0,280.0,160.0,466.0,0.0625,80.0,270.0,LanguageModelEmbedding
gpt,2-6B,8,4096,4096,4415.65185546875,6135.8282470703125,240.0,560.0,320.0,644.0,0.125,160.0,270.0,LanguageModelEmbedding
gpt,2-6B,16,4096,4096,8817.43896484375,9434.378051757812,480.0,1120.0,640.0,962.0,0.25,320.0,270.0,LanguageModelEmbedding
gpt,2-6B,1,8192,8192,991.7030334472656,3810.303955078125,60.0,0.0,80.0,378.0,0.03125,40.0,290.0,LanguageModelEmbedding
gpt,2-6B,2,8192,8192,2239.9795532226562,5124.15771484375,120.0,280.0,160.0,506.0,0.0625,80.0,290.0,LanguageModelEmbedding
gpt,2-6B,4,8192,8192,4465.541076660156,6781.97265625,240.0,560.0,320.0,684.0,0.125,160.0,290.0,LanguageModelEmbedding
gpt,2-6B,8,8192,8192,8904.437866210938,9958.092651367188,480.0,1120.0,640.0,1106.0,0.25,320.0,290.0,LanguageModelEmbedding
gpt,2-6B,16,8192,8192,17775.32958984375,16538.23486328125,960.0,2240.0,1280.0,1284.0,0.5,640.0,290.0,LanguageModelEmbedding
gpt,2-6B,1,4096,4096,32081.6748046875,39532.6025390625,828.20703125,1171.79296875,8.140625,0.0,20.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,2,4096,4096,64059.8828125,81315.33203125,1640.1640625,2399.8359375,0.03125,0.0,40.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,4,4096,4096,127996.767578125,161906.943359375,3280.328125,4719.671875,0.0625,0.0,80.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,8,4096,4096,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,16,4096,4096,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,1,8192,8192,64055.7080078125,81668.5205078125,1640.1640625,2399.8359375,0.03125,0.0,40.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,2,8192,8192,128314.716796875,162398.603515625,3280.328125,4719.671875,0.0625,0.0,80.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,4,8192,8192,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,8,8192,8192,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,16,8192,8192,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,1,4096,4096,5900.9637451171875,13385.748901367188,134.5322265625,0.0,19.96875,0.0,20.0,20.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,2,4096,4096,11853.64013671875,26376.2744140625,301.0732421875,24.9267578125,39.9375,248.0,40.0,40.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,4,4096,4096,22932.84912109375,53423.41064453125,602.5966796875,0.0,79.875,752.0,80.0,80.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,8,4096,4096,45624.3798828125,101517.9052734375,1204.2509765625,235.7490234375,159.75,1504.0,160.0,160.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,16,4096,4096,91374.19921875,212994.51171875,2408.5009765625,791.4990234375,319.5,3008.0,320.0,320.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,1,8192,8192,15431.455078125,34827.6513671875,261.0732421875,24.9267578125,39.9375,248.0,40.0,40.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,2,8192,8192,30330.06103515625,69760.20263671875,602.5966796875,43.4033203125,79.875,678.0,80.0,80.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,4,8192,8192,60661.69921875,134757.65625,1204.2509765625,395.7490234375,159.75,1664.0,160.0,160.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,8,8192,8192,121691.708984375,279021.533203125,2408.5009765625,791.4990234375,319.5,3008.0,320.0,320.0,50.0,TELayerNormSelfAttentionDropout
