model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,2-6B,1,8192,8192,21258.23974609375,17648.64044189453,15.0703125,114.9296875,20.0,88.0,0.03125,10.0,102.5,LanguageModelEmbedding
gpt,2-6B,2,8192,8192,42806.475830078125,35351.55334472656,30.140625,289.859375,40.0,256.0,0.0625,20.0,102.5,LanguageModelEmbedding
gpt,2-6B,1,16384,16384,42542.91076660156,35530.13610839844,30.140625,229.859375,40.0,256.0,0.0625,20.0,142.5,LanguageModelEmbedding
gpt,2-6B,2,16384,16384,85823.89526367188,69643.26171875,60.28125,579.71875,80.0,514.0,0.125,40.0,142.5,LanguageModelEmbedding
gpt,2-6B,1,32768,32768,84856.4208984375,69913.5986328125,60.28125,419.71875,80.0,514.0,0.125,40.0,222.5,LanguageModelEmbedding
gpt,2-6B,2,32768,32768,173065.0146484375,137244.47021484375,120.5625,1161.4375,160.0,866.0,0.25,80.0,222.5,LanguageModelEmbedding
gpt,2-6B,1,65536,65536,171063.07373046875,138542.28515625,120.5625,921.4375,160.0,1026.0,0.25,80.0,382.5,LanguageModelEmbedding
gpt,2-6B,2,65536,65536,345646.2890625,270568.65234375,241.125,2320.875,320.0,2052.0,0.5,160.0,382.5,LanguageModelEmbedding
gpt,2-6B,1,8192,8192,27225.497436523438,28993.948364257812,458.2421875,541.7578125,8.15625,0.0,10.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,8192,8192,54316.033935546875,58539.007568359375,860.234375,1139.765625,0.0625,0.0,20.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,16384,16384,54158.746337890625,59426.409912109375,820.234375,1179.765625,0.0625,0.0,20.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,16384,16384,107867.138671875,109977.392578125,1720.46875,2439.53125,0.125,0.0,40.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,32768,32768,107997.59521484375,111155.60302734375,1640.46875,2359.53125,0.125,0.0,40.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,32768,32768,217835.9375,222337.841796875,3440.9375,4961.0625,0.25,0.0,80.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,65536,65536,216640.1123046875,226002.7099609375,3280.9375,4721.0625,0.25,0.0,80.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,1,8192,8192,24926.412963867188,37078.42712402344,70.248046875,0.0,19.984375,0.0,10.0,10.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,8192,8192,49767.83447265625,73470.15380859375,150.5322265625,0.0,39.96875,0.0,20.0,20.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,16384,16384,53663.53759765625,81387.31689453125,130.5322265625,0.0,39.96875,0.0,20.0,20.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,16384,16384,107593.93310546875,162611.41357421875,301.0634765625,0.0,79.9375,162.0,40.0,40.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,32768,32768,122902.1240234375,196998.9501953125,261.0634765625,0.0,79.9375,2.0,40.0,40.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,32768,32768,247162.060546875,392621.6796875,602.1259765625,0.0,159.875,720.0,80.0,80.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,65536,65536,309768.1884765625,524184.5458984375,522.1259765625,0.0,159.875,832.0,80.0,80.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormSelfAttentionDropout
gpt,2-6B,1,8192,8192,24374.06768798828,34663.011169433594,105.015625,0.0,19.984375,0.0,10.0,10.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,8192,8192,48753.460693359375,68482.87963867188,210.03125,0.0,39.96875,0.0,20.0,20.0,25.0,TELayerNormMlpDropout
gpt,2-6B,1,16384,16384,48792.00134277344,69346.06018066406,210.03125,0.0,39.96875,0.0,20.0,20.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,16384,16384,97872.28393554688,137382.08618164062,420.0625,0.0,79.9375,0.0,40.0,40.0,25.0,TELayerNormMlpDropout
gpt,2-6B,1,32768,32768,97857.53784179688,139613.80004882812,420.0625,0.0,79.9375,0.0,40.0,40.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,32768,32768,196363.26904296875,276328.43017578125,840.125,0.0,159.875,1040.0,80.0,80.0,25.0,TELayerNormMlpDropout
gpt,2-6B,1,65536,65536,196450.09765625,279831.73828125,840.125,0.0,159.875,1040.0,80.0,80.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,65536,65536,390735.4248046875,544445.9228515625,1680.25,0.0,319.75,1920.0,160.0,160.0,25.0,TELayerNormMlpDropout
pout
