model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,1-3B,1,8192,8192,25000.95977783203,15409.971618652344,6.03515625,61.96484375,8.0,118.0,0.015625,4.0,82.0,LanguageModelEmbedding
GPT,1-3B,2,8192,8192,49869.415283203125,29677.157592773438,12.0703125,115.9296875,16.0,136.0,0.03125,8.0,82.0,LanguageModelEmbedding
GPT,1-3B,1,16384,16384,49557.50427246094,29883.80126953125,12.0703125,83.9296875,16.0,136.0,0.03125,8.0,114.0,LanguageModelEmbedding
GPT,1-3B,2,16384,16384,99790.234375,63386.82861328125,24.140625,231.859375,32.0,206.0,0.0625,16.0,114.0,LanguageModelEmbedding
GPT,1-3B,1,32768,32768,98605.87768554688,63746.661376953125,24.140625,119.859375,32.0,270.0,0.0625,16.0,178.0,LanguageModelEmbedding
GPT,1-3B,2,32768,32768,199188.07373046875,132819.970703125,48.28125,463.71875,64.0,412.0,0.125,32.0,178.0,LanguageModelEmbedding
GPT,1-3B,1,8192,8192,19891.200256347656,25467.494201660156,228.18359375,271.81640625,8.140625,0.0,4.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
GPT,1-3B,2,8192,8192,38942.926025390625,51388.824462890625,424.1171875,575.8828125,0.03125,0.0,8.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
GPT,1-3B,1,16384,16384,38820.0439453125,51615.948486328125,408.1171875,591.8828125,0.03125,0.0,8.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
GPT,1-3B,2,16384,16384,78296.88110351562,101975.45776367188,848.234375,1151.765625,0.0625,0.0,16.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
GPT,1-3B,1,32768,32768,78380.23681640625,102424.98779296875,816.234375,1183.765625,0.0625,0.0,16.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
GPT,1-3B,2,32768,32768,156672.412109375,204522.0947265625,1696.46875,2431.53125,0.125,0.0,32.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
GPT,1-3B,1,8192,8192,33325.67138671875,54447.723388671875,30.13720703125,483.86279296875,7.9921875,0.0,4.0,4.0,8.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,8192,8192,66968.98803710938,107193.75610351562,60.27001953125,207.72998046875,15.984375,0.0,8.0,8.0,8.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,16384,16384,67274.13940429688,107359.63745117188,52.27001953125,215.72998046875,15.984375,0.0,8.0,8.0,8.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,16384,16384,136453.125,221995.21484375,120.53564453125,149.46435546875,31.96875,0.0,16.0,16.0,8.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,32768,32768,139225.08544921875,222219.88525390625,104.53564453125,0.0,31.96875,356.0,16.0,16.0,8.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,32768,32768,281062.20703125,457582.568359375,241.06689453125,0.0,63.9375,0.0,32.0,32.0,8.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,8192,8192,25634.201049804688,37441.32995605469,42.0078125,0.0,7.9921875,0.0,4.0,4.0,16.0,TELayerNormMlpDropout
GPT,1-3B,2,8192,8192,51161.29150390625,73666.357421875,84.015625,0.0,15.984375,0.0,8.0,8.0,16.0,TELayerNormMlpDropout
GPT,1-3B,1,16384,16384,50967.962646484375,75140.70434570312,84.015625,0.0,15.984375,0.0,8.0,8.0,16.0,TELayerNormMlpDropout
GPT,1-3B,2,16384,16384,102557.28759765625,148104.18701171875,168.03125,0.0,31.96875,252.0,16.0,16.0,16.0,TELayerNormMlpDropout
GPT,1-3B,1,32768,32768,102775.40283203125,148579.94384765625,168.03125,0.0,31.96875,160.0,16.0,16.0,16.0,TELayerNormMlpDropout
GPT,1-3B,2,32768,32768,208314.7705078125,297499.6337890625,336.0625,0.0,63.9375,384.0,32.0,32.0,16.0,TELayerNormMlpDropout
