model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,350M,1,4096,4096,3449.856185913086,3704.217529296875,3.017578125,16.982421875,4.0,50.0,0.0078125,2.0,58.0,LanguageModelEmbedding
gpt,350M,2,4096,4096,7007.231903076172,7143.424224853516,6.03515625,33.96484375,8.0,88.0,0.015625,4.0,58.0,LanguageModelEmbedding
gpt,350M,3,4096,4096,10507.059478759766,10768.793487548828,9.052734375,26.947265625,12.0,114.0,0.0234375,6.0,58.0,LanguageModelEmbedding
gpt,350M,1,8192,8192,6939.008331298828,7316.070556640625,6.03515625,0.0,8.0,104.0,0.015625,4.0,66.0,LanguageModelEmbedding
gpt,350M,2,8192,8192,14139.596557617188,14176.634216308594,12.0703125,51.9296875,16.0,134.0,0.03125,8.0,66.0,LanguageModelEmbedding
gpt,350M,3,8192,8192,21091.53289794922,21524.87030029297,18.10546875,77.89453125,24.0,176.0,0.046875,12.0,66.0,LanguageModelEmbedding
gpt,350M,1,16384,16384,13982.106018066406,14095.155334472656,12.0703125,55.9296875,16.0,134.0,0.03125,8.0,82.0,LanguageModelEmbedding
gpt,350M,2,16384,16384,28296.600341796875,28558.33740234375,24.140625,103.859375,32.0,168.0,0.0625,16.0,82.0,LanguageModelEmbedding
gpt,350M,3,16384,16384,42267.64831542969,42646.32263183594,36.2109375,155.7890625,48.0,250.0,0.09375,24.0,82.0,LanguageModelEmbedding
gpt,350M,1,32768,32768,28040.396118164062,28700.057983398438,24.140625,87.859375,32.0,168.0,0.0625,16.0,114.0,LanguageModelEmbedding
gpt,350M,2,32768,32768,56047.607421875,57007.513427734375,48.28125,207.71875,64.0,336.0,0.125,32.0,114.0,LanguageModelEmbedding
gpt,350M,3,32768,32768,83933.80126953125,85518.3349609375,72.421875,311.578125,96.0,502.0,0.1875,48.0,114.0,LanguageModelEmbedding
gpt,350M,1,4096,4096,7828.479766845703,8267.571258544922,214.158203125,285.841796875,8.1328125,0.0,2.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,2,4096,4096,15490.457153320312,16534.521484375,408.06640625,591.93359375,0.015625,0.0,4.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,3,4096,4096,22987.12921142578,24496.15936279297,610.099609375,901.900390625,0.0234375,0.0,6.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,1,8192,8192,15773.081970214844,16353.074645996094,404.06640625,595.93359375,0.015625,0.0,4.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,2,8192,8192,30684.979248046875,32529.6142578125,812.1328125,1203.8671875,0.03125,0.0,8.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,3,8192,8192,46333.746337890625,48962.7685546875,1220.19921875,1803.80078125,0.046875,0.0,12.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,1,16384,16384,31351.193237304688,31926.480102539062,808.1328125,1191.8671875,0.03125,0.0,8.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,2,16384,16384,60861.236572265625,65311.944580078125,1624.265625,2423.734375,0.0625,2.0,16.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,3,16384,16384,92271.20361328125,99313.46435546875,2440.3984375,3607.6015625,0.09375,2.0,24.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,1,32768,32768,62401.739501953125,64740.765380859375,1616.265625,2383.734375,0.0625,2.0,16.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,2,32768,32768,123167.54150390625,129598.44970703125,3248.53125,4751.46875,0.125,2.0,32.0,1.9073486328125e-06,50.0,TELayerNormPostProcess
gpt,350M,3,32768,32768,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,350M,1,4096,4096,8452.91519165039,14920.088958740234,17.07470703125,232.92529296875,3.9921875,0.0,2.0,2.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,2,4096,4096,17904.844665527344,30156.39190673828,30.14501953125,237.85498046875,7.984375,2.0,4.0,4.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,3,4096,4096,27004.107666015625,46876.239013671875,46.06396484375,0.0,11.9765625,2.0,6.0,6.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,1,8192,8192,17936.793518066406,30447.81951904297,26.14501953125,241.85498046875,7.984375,2.0,4.0,4.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,2,8192,8192,37120.61462402344,62926.64489746094,60.28564453125,209.71435546875,15.96875,0.0,8.0,8.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,3,8192,8192,56106.396484375,95994.03076171875,90.42626953125,0.0,23.953125,62.0,12.0,12.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,1,16384,16384,37623.39782714844,63752.39562988281,52.28564453125,0.0,15.96875,34.0,8.0,8.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,2,16384,16384,76298.828125,128805.712890625,120.56689453125,0.0,31.9375,0.0,16.0,16.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,3,16384,16384,114757.2265625,194941.748046875,180.84814453125,0.0,47.90625,0.0,24.0,24.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,1,32768,32768,78744.37255859375,130068.46923828125,104.56689453125,0.0,31.9375,0.0,16.0,16.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,2,32768,32768,157663.04931640625,262027.67333984375,241.12939453125,0.0,63.875,0.0,32.0,32.0,4.0,TELayerNormSelfAttentionDropout
gpt,350M,3,32768,32768,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormSelfAttentionDropout
gpt,350M,1,4096,4096,4337.664031982422,5808.742523193359,21.0078125,0.0,3.9921875,2.0,2.0,2.0,8.0,TELayerNormMlpDropout
gpt,350M,2,4096,4096,8231.321716308594,13106.790161132812,42.015625,0.0,7.984375,0.0,4.0,4.0,8.0,TELayerNormMlpDropout
gpt,350M,3,4096,4096,12421.939086914062,18326.7333984375,63.869140625,0.0,11.9765625,0.0,6.0,6.0,8.0,TELayerNormMlpDropout
gpt,350M,1,8192,8192,8299.724578857422,13004.186248779297,42.015625,0.0,7.984375,0.0,4.0,4.0,8.0,TELayerNormMlpDropout
gpt,350M,2,8192,8192,17052.26287841797,26370.252990722656,84.03125,0.0,15.96875,0.0,8.0,8.0,8.0,TELayerNormMlpDropout
gpt,350M,3,8192,8192,24849.612426757812,36844.95544433594,126.046875,0.0,23.953125,0.0,12.0,12.0,8.0,TELayerNormMlpDropout
