model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,350M,1,8192,8192,29394.534301757812,18391.448974609375,3.0703125,44.9296875,4.0,36.0,0.03125,2.0,28.5,LanguageModelEmbedding
gpt,350M,2,8192,8192,57759.130859375,36428.39050292969,6.140625,121.859375,8.0,72.0,0.0625,4.0,28.5,LanguageModelEmbedding
gpt,350M,1,16384,16384,57750.115966796875,36752.587890625,6.140625,89.859375,8.0,72.0,0.0625,4.0,44.5,LanguageModelEmbedding
gpt,350M,2,16384,16384,114883.3740234375,72455.57861328125,12.28125,243.71875,16.0,144.0,0.125,8.0,44.5,LanguageModelEmbedding
gpt,350M,1,32768,32768,114715.6494140625,72557.568359375,12.28125,199.71875,16.0,208.0,0.125,8.0,76.5,LanguageModelEmbedding
gpt,350M,2,32768,32768,230274.2431640625,152988.671875,24.5625,489.4375,32.0,348.0,0.25,16.0,76.5,LanguageModelEmbedding
gpt,350M,1,8192,8192,20379.647827148438,29679.82177734375,226.234375,273.765625,8.15625,0.0,2.0,1.9073486328125e-06,12.5,TELayerNormPostProcess
gpt,350M,2,8192,8192,40225.79345703125,58462.20703125,420.21875,611.78125,0.0625,2.0,4.0,1.9073486328125e-06,12.5,TELayerNormPostProcess
gpt,350M,1,16384,16384,40419.73876953125,59026.019287109375,404.21875,595.78125,0.0625,2.0,4.0,1.9073486328125e-06,12.5,TELayerNormPostProcess
gpt,350M,2,16384,16384,80306.58569335938,117139.66674804688,840.4375,1223.5625,0.125,2.0,8.0,1.9073486328125e-06,12.5,TELayerNormPostProcess
gpt,350M,1,32768,32768,80320.30639648438,118725.83618164062,808.4375,1191.5625,0.125,2.0,8.0,1.9073486328125e-06,12.5,TELayerNormPostProcess
gpt,350M,2,32768,32768,160721.30126953125,233980.50537109375,1680.875,2449.125,0.25,2.0,16.0,1.9073486328125e-06,12.5,TELayerNormPostProcess
gpt,350M,1,8192,8192,29284.55810546875,42859.31396484375,17.0712890625,0.0,3.9921875,0.0,2.0,2.0,1.0,TELayerNormSelfAttentionDropout
