model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,2-6B,1,4096,4096,36592.18994140625,20579.67529296875,3.78515625,76.21484375,5.0,44.0,0.015625,2.5,51.25,LanguageModelEmbedding
gpt,2-6B,2,4096,4096,72313.26171875,40166.80908203125,7.5703125,152.4296875,10.0,108.0,0.03125,5.0,51.25,LanguageModelEmbedding
gpt,2-6B,4,4096,4096,145420.48828125,81217.59765625,15.140625,304.859375,20.0,216.0,0.0625,10.0,51.25,LanguageModelEmbedding
gpt,2-6B,8,4096,4096,290293.046875,166967.67578125,30.28125,609.71875,40.0,394.0,0.125,20.0,51.25,LanguageModelEmbedding
gpt,2-6B,16,4096,4096,580654.53125,335657.03125,60.5625,1221.4375,80.0,640.0,0.25,40.0,51.25,LanguageModelEmbedding
gpt,2-6B,1,8192,8192,71768.45703125,40064.1650390625,7.5703125,0.0,10.0,88.0,0.03125,5.0,71.25,LanguageModelEmbedding
gpt,2-6B,2,8192,8192,145128.896484375,80307.0361328125,15.140625,304.859375,20.0,176.0,0.0625,10.0,71.25,LanguageModelEmbedding
gpt,2-6B,4,8192,8192,289040.13671875,163367.236328125,30.28125,609.71875,40.0,434.0,0.125,20.0,71.25,LanguageModelEmbedding
gpt,2-6B,8,8192,8192,579278.2421875,329455.4296875,60.5625,1221.4375,80.0,784.0,0.25,40.0,71.25,LanguageModelEmbedding
gpt,2-6B,16,8192,8192,1166011.875,662650.390625,121.125,2440.875,160.0,1282.0,0.5,80.0,71.25,LanguageModelEmbedding
gpt,2-6B,1,4096,4096,22312.87841796875,35786.66748046875,130.6796875,119.3203125,8.140625,0.0,2.5,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,2,4096,4096,44241.875,70736.982421875,225.109375,314.890625,0.03125,0.0,5.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,4,4096,4096,88282.724609375,141987.861328125,450.21875,629.78125,0.0625,0.0,10.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,8,4096,4096,175961.23046875,284104.55078125,900.4375,1259.5625,0.125,0.0,20.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,16,4096,4096,352797.96875,568800.3125,1800.875,2521.125,0.25,0.0,40.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,1,8192,8192,44212.6953125,71219.873046875,205.109375,294.890625,0.03125,0.0,5.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,2,8192,8192,88246.23046875,142480.2734375,410.21875,589.78125,0.0625,0.0,10.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,4,8192,8192,175945.78125,284333.59375,820.4375,1179.5625,0.125,0.0,20.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,8,8192,8192,352714.5703125,569911.9921875,1640.875,2361.125,0.25,0.0,40.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,16,8192,8192,713553.671875,1164729.765625,3601.75,5042.25,0.5,0.0,80.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,1,4096,4096,36541.5625,54293.828125,20.61328125,0.0,4.99609375,20.0,2.5,2.5,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,2,4096,4096,72623.6181640625,107360.8349609375,37.9130859375,264.0869140625,10.9921875,0.0,5.0,5.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,4,4096,4096,146677.451171875,215305.556640625,76.2666015625,0.0,19.984375,160.0,10.0,10.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,8,4096,4096,292637.03125,431125.15625,150.5322265625,169.4677734375,39.96875,320.0,20.0,20.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,16,4096,4096,587505.8203125,868887.6171875,301.0634765625,498.9365234375,79.9375,642.0,40.0,40.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,1,8192,8192,73160.5810546875,108416.3916015625,33.9130859375,212.0869140625,9.9921875,0.0,5.0,5.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,2,8192,8192,147618.896484375,216906.337890625,75.2666015625,0.0,19.984375,170.0,10.0,10.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,4,8192,8192,294636.38671875,433947.83203125,150.5322265625,229.4677734375,39.96875,320.0,20.0,20.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,8,8192,8192,591280.4296875,875895.6640625,301.0634765625,498.9365234375,79.9375,642.0,40.0,40.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,16,8192,8192,1187026.40625,1772303.28125,602.9052734375,997.0947265625,159.875,1280.0,80.0,80.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,1,4096,4096,36503.32763671875,53823.89892578125,27.2373046875,0.0,4.99609375,50.0,2.5,2.5,12.5,TELayerNormMlpDropout
gpt,2-6B,2,4096,4096,73033.0517578125,105799.0185546875,52.787109375,213.212890625,9.9921875,246.0,5.0,5.0,12.5,TELayerNormMlpDropout
gpt,2-6B,4,4096,4096,146916.6015625,211649.4140625,105.015625,94.984375,19.984375,260.0,10.0,10.0,12.5,TELayerNormMlpDropout
gpt,2-6B,8,4096,4096,293709.62890625,422526.77734375,210.03125,189.96875,39.96875,400.0,20.0,20.0,12.5,TELayerNormMlpDropout
gpt,2-6B,16,4096,4096,589384.8046875,852670.8203125,420.0625,379.9375,79.9375,960.0,40.0,40.0,12.5,TELayerNormMlpDropout
gpt,2-6B,1,8192,8192,73046.1572265625,106745.8544921875,52.787109375,233.212890625,9.9921875,246.0,5.0,5.0,12.5,TELayerNormMlpDropout
gpt,2-6B,2,8192,8192,146690.68359375,212233.10546875,105.015625,220.984375,19.984375,246.0,10.0,10.0,12.5,TELayerNormMlpDropout
gpt,2-6B,4,8192,8192,293428.14453125,423999.27734375,210.03125,189.96875,39.96875,400.0,20.0,20.0,12.5,TELayerNormMlpDropout
