model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,350M,1,4096,4096,6467.558288574219,4611.686325073242,1.517578125,0.482421875,2.0,46.0,0.0078125,1.0,33.0,LanguageModelEmbedding
gpt,350M,2,4096,4096,12591.51382446289,8814.796447753906,3.03515625,36.96484375,4.0,44.0,0.015625,2.0,33.0,LanguageModelEmbedding
gpt,350M,3,4096,4096,18749.03106689453,12948.480224609375,4.552734375,31.447265625,6.0,78.0,0.0234375,3.0,33.0,LanguageModelEmbedding
gpt,350M,1,8192,8192,12446.514892578125,8996.044921875,3.03515625,36.96484375,4.0,60.0,0.015625,2.0,41.0,LanguageModelEmbedding
gpt,350M,2,8192,8192,24729.190063476562,17220.19805908203,6.0703125,57.9296875,8.0,68.0,0.03125,4.0,41.0,LanguageModelEmbedding
gpt,350M,3,8192,8192,37186.56005859375,25735.781860351562,9.10546875,86.89453125,12.0,102.0,0.046875,6.0,41.0,LanguageModelEmbedding
gpt,350M,1,16384,16384,24852.27508544922,17258.700561523438,6.0703125,41.9296875,8.0,68.0,0.03125,4.0,57.0,LanguageModelEmbedding
gpt,350M,2,16384,16384,49664.794921875,34231.9091796875,12.140625,115.859375,16.0,104.0,0.0625,8.0,57.0,LanguageModelEmbedding
gpt,350M,3,16384,16384,74647.34497070312,55958.734130859375,19.2109375,172.7890625,24.0,154.0,0.09375,12.0,57.0,LanguageModelEmbedding
gpt,350M,1,32768,32768,49551.15661621094,34481.561279296875,12.140625,71.859375,16.0,136.0,0.0625,8.0,89.0,LanguageModelEmbedding
gpt,350M,2,32768,32768,99218.63403320312,74839.41650390625,24.28125,231.71875,32.0,208.0,0.125,16.0,89.0,LanguageModelEmbedding
gpt,350M,3,32768,32768,149357.9833984375,114909.38720703125,36.421875,347.578125,48.0,310.0,0.1875,24.0,89.0,LanguageModelEmbedding
gpt,350M,1,4096,4096,6157.107162475586,6980.19905090332,113.154296875,138.845703125,8.1328125,2.0,1.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,2,4096,4096,11945.779418945312,13604.658508300781,206.05859375,293.94140625,0.015625,0.0,2.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,3,4096,4096,17860.60791015625,21057.94677734375,307.087890625,442.912109375,0.0234375,0.0,3.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,1,8192,8192,12059.852600097656,13969.816589355469,203.0546875,296.9453125,0.015625,0.0,2.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,2,8192,8192,23765.811157226562,27836.416625976562,408.1171875,591.8828125,0.03125,0.0,4.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,3,8192,8192,35698.07434082031,41351.37023925781,614.17578125,885.82421875,0.046875,0.0,6.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,1,16384,16384,23779.942321777344,28272.023010253906,404.1171875,595.8828125,0.03125,0.0,4.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,2,16384,16384,47642.828369140625,54744.476318359375,816.234375,1183.765625,0.0625,2.0,8.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,3,16384,16384,71562.0361328125,81372.7783203125,1228.3515625,1819.6484375,0.09375,2.0,12.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,1,32768,32768,47583.23059082031,55476.22985839844,808.234375,1191.765625,0.0625,2.0,8.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,2,32768,32768,95276.03149414062,107938.61694335938,1632.46875,2431.53125,0.125,2.0,16.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,3,32768,32768,143449.70703125,162666.69921875,2456.703125,3641.296875,0.1875,0.0,24.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,1,4096,4096,8630.681610107422,13655.65414428711,10.53955078125,491.46044921875,1.99609375,2.0,1.0,1.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,2,4096,4096,16796.83837890625,27212.600708007812,15.5673828125,480.4326171875,3.9921875,4.0,2.0,2.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,3,4096,4096,25359.974670410156,40870.50018310547,22.60986328125,0.0,5.98828125,0.0,3.0,3.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,1,8192,8192,16997.99041748047,26859.315490722656,13.07470703125,480.92529296875,4.48486328125,2.0,2.0,2.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,2,8192,8192,34424.21875,54926.336669921875,30.14501953125,237.85498046875,8.47705078125,2.0,4.0,4.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,3,8192,8192,52640.56396484375,84758.11767578125,45.21533203125,0.0,11.9765625,2.0,6.0,6.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,1,16384,16384,34861.260986328125,55772.57080078125,26.6376953125,0.0,7.984375,2.0,4.0,4.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,2,16384,16384,71080.75561523438,112259.85717773438,60.28564453125,0.0,15.96875,2.0,8.0,8.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,3,16384,16384,107902.77099609375,171657.40966796875,90.42626953125,0.0,23.953125,0.0,12.0,12.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,1,32768,32768,72196.50268554688,114249.53002929688,52.28564453125,0.0,15.96875,126.0,8.0,8.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,2,32768,32768,146231.4697265625,230254.2236328125,120.56689453125,0.0,31.9375,0.0,16.0,16.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,3,32768,32768,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormSelfAttentionDropout
gpt,350M,1,4096,4096,6283.26416015625,9346.047973632812,10.50390625,0.0,1.99609375,4.0,1.0,1.0,4.0,TELayerNormMlpDropout
gpt,350M,2,4096,4096,12452.249908447266,18749.236297607422,21.49267578125,0.0,3.9921875,2.0,2.0,2.0,4.0,TELayerNormMlpDropout
gpt,350M,3,4096,4096,18686.752319335938,27293.5302734375,31.51171875,0.0,5.98828125,0.0,3.0,3.0,4.0,TELayerNormMlpDropout
gpt,350M,1,8192,8192,12436.8896484375,18439.987182617188,21.48486328125,224.51513671875,3.9921875,2.0,2.0,2.0,4.0,TELayerNormMlpDropout
gpt,350M,2,8192,8192,24810.90545654297,36273.97003173828,42.015625,0.0,7.984375,0.0,4.0,4.0,4.0,TELayerNormMlpDropout
gpt,350M,3,8192,8192,37326.26647949219,54444.61364746094,63.0234375,0.0,11.9765625,60.0,6.0,6.0,4.0,TELayerNormMlpDropout
gpt,350M,1,16384,16384,25025.535583496094,36397.669982910156,42.015625,0.0,7.984375,0.0,4.0,4.0,4.0,TELayerNormMlpDropout
gpt,350M,2,16384,16384,49952.5634765625,72474.21875,84.03125,0.0,15.96875,92.0,8.0,8.0,4.0,TELayerNormMlpDropout
gpt,350M,3,16384,16384,74976.64184570312,108470.50170898438,126.50830078125,0.0,23.953125,108.0,12.0,12.0,4.0,TELayerNormMlpDropout
gpt,350M,1,32768,32768,50102.093505859375,73476.27563476562,84.03125,0.0,15.96875,92.0,8.0,8.0,4.0,TELayerNormMlpDropout
gpt,350M,2,32768,32768,100384.35668945312,145349.01733398438,168.0625,0.0,31.9375,188.0,16.0,16.0,4.0,TELayerNormMlpDropout
gpt,350M,3,32768,32768,151263.43994140625,218266.00341796875,252.09375,35.90625,47.90625,252.0,24.0,24.0,4.0,TELayerNormMlpDropout
