model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,1-3B,1,4096,4096,4088.422393798828,3750.502395629883,3.0087890625,16.9912109375,4.0,116.0,0.00390625,2.0,116.0,LanguageModelEmbedding
GPT,1-3B,2,4096,4096,8246.06704711914,6543.974304199219,6.017578125,33.982421875,8.0,136.0,0.0078125,4.0,116.0,LanguageModelEmbedding
GPT,1-3B,3,4096,4096,12490.95687866211,9136.332702636719,9.0263671875,38.9736328125,12.0,152.0,0.01171875,6.0,116.0,LanguageModelEmbedding
GPT,1-3B,1,4096,4096,5913.190460205078,7891.762542724609,114.1416015625,155.8583984375,8.12890625,100.0,2.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,1-3B,2,4096,4096,11517.747497558594,15092.121887207031,208.033203125,291.966796875,0.0078125,0.0,4.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,1-3B,3,4096,4096,17042.636108398438,22910.15625,310.0498046875,439.9501953125,0.01171875,0.0,6.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,1-3B,1,4096,4096,18089.573669433594,35324.72686767578,17.07373046875,6.92626953125,3.99609375,22.0,2.0,2.0,16.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,4096,4096,36899.02038574219,74597.36633300781,30.14013671875,0.0,7.9921875,0.0,4.0,4.0,16.0,TELayerNormSelfAttentionDropout
GPT,1-3B,3,4096,4096,55505.712890625,113842.59033203125,46.18896484375,0.0,11.98828125,82.0,6.0,6.0,16.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,4096,4096,4678.860855102539,7125.40168762207,21.00390625,0.0,3.99609375,0.0,2.0,2.0,32.0,TELayerNormMlpDropout
GPT,1-3B,2,4096,4096,9409.945678710938,13769.728088378906,42.0078125,0.0,7.9921875,60.0,4.0,4.0,32.0,TELayerNormMlpDropout
GPT,1-3B,3,4096,4096,14075.289916992188,20615.988159179688,63.9921875,0.0,11.98828125,100.0,6.0,6.0,32.0,TELayerNormMlpDropout
