model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,6-7B,1,8192,8192,22052.86407470703,23099.18670654297,24.0703125,183.9296875,32.0,142.0,0.03125,16.0,164.0,LanguageModelEmbedding
gpt,6-7B,2,8192,8192,46599.78332519531,44156.31408691406,48.140625,463.859375,64.0,410.0,0.0625,32.0,164.0,LanguageModelEmbedding
gpt,6-7B,1,16384,16384,45198.944091796875,44118.426513671875,48.140625,367.859375,64.0,410.0,0.0625,32.0,228.0,LanguageModelEmbedding
gpt,6-7B,2,16384,16384,93454.74853515625,84355.6884765625,96.28125,927.71875,128.0,822.0,0.125,64.0,228.0,LanguageModelEmbedding
gpt,6-7B,1,32768,32768,91195.80078125,85379.6875,96.28125,671.71875,128.0,822.0,0.125,64.0,356.0,LanguageModelEmbedding
gpt,6-7B,2,32768,32768,188059.6435546875,166197.44873046875,192.5625,1857.4375,256.0,1386.0,0.25,128.0,356.0,LanguageModelEmbedding
gpt,6-7B,1,65536,65536,183824.5849609375,166247.6318359375,192.5625,1473.4375,256.0,1642.0,0.25,128.0,612.0,LanguageModelEmbedding
gpt,6-7B,2,65536,65536,376518.0419921875,325797.0703125,385.125,3712.875,512.0,3282.0,0.5,256.0,612.0,LanguageModelEmbedding
gpt,6-7B,1,8192,8192,38476.18408203125,34480.126953125,488.2421875,311.7578125,8.15625,0.0,16.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,6-7B,2,8192,8192,75832.11669921875,68883.8623046875,896.234375,1103.765625,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,6-7B,1,16384,16384,76456.14013671875,68661.24267578125,832.234375,1167.765625,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,6-7B,2,16384,16384,154686.669921875,134038.330078125,1792.46875,2463.53125,0.125,0.0,64.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,6-7B,1,32768,32768,155101.79443359375,134885.99853515625,1664.46875,2335.53125,0.125,0.0,64.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,6-7B,2,32768,32768,326923.681640625,274806.34765625,3584.9375,4929.0625,0.25,0.0,128.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,6-7B,1,65536,65536,326816.9677734375,276517.0654296875,3328.9375,4673.0625,0.25,0.0,128.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,6-7B,2,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,6-7B,1,8192,8192,26977.880859375,40142.041015625,108.2666015625,0.0,31.984375,0.0,16.0,16.0,32.0,TELayerNormSelfAttentionDropout
gpt,6-7B,2,8192,8192,54883.941650390625,81074.59106445312,240.5322265625,0.0,63.96875,288.0,32.0,32.0,32.0,TELayerNormSelfAttentionDropout
gpt,6-7B,1,16384,16384,58451.1474609375,90569.7265625,208.5322265625,47.4677734375,63.96875,280.0,32.0,32.0,32.0,TELayerNormSelfAttentionDropout
gpt,6-7B,2,16384,16384,119321.19140625,188723.6083984375,481.0634765625,94.9365234375,127.9375,578.0,64.0,64.0,32.0,TELayerNormSelfAttentionDropout
gpt,6-7B,1,32768,32768,138102.33154296875,242456.01806640625,417.0634765625,30.9365234375,127.9375,578.0,64.0,64.0,32.0,TELayerNormSelfAttentionDropout
gpt,6-7B,2,32768,32768,289380.95703125,476474.365234375,962.1259765625,573.8740234375,255.875,1152.0,128.0,128.0,32.0,TELayerNormSelfAttentionDropout
gpt,6-7B,1,65536,65536,356276.220703125,703202.294921875,834.1259765625,573.8740234375,255.875,1152.0,128.0,128.0,32.0,TELayerNormSelfAttentionDropout
gpt,6-7B,2,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormSelfAttentionDropout
gpt,6-7B,1,8192,8192,28040.191650390625,40351.129150390625,168.015625,0.0,31.984375,108.0,16.0,16.0,64.0,TELayerNormMlpDropout
gpt,6-7B,2,8192,8192,56771.78955078125,80451.98974609375,336.03125,0.0,63.96875,460.0,32.0,32.0,64.0,TELayerNormMlpDropout
gpt,6-7B,1,16384,16384,57385.369873046875,81416.22924804688,336.03125,0.0,63.96875,460.0,32.0,32.0,64.0,TELayerNormMlpDropout
gpt,6-7B,2,16384,16384,115519.68994140625,162914.53857421875,672.0625,0.0,127.9375,832.0,64.0,64.0,64.0,TELayerNormMlpDropout
gpt,6-7B,1,32768,32768,116732.1044921875,163667.3583984375,672.0625,95.9375,127.9375,768.0,64.0,64.0,64.0,TELayerNormMlpDropout
gpt,6-7B,2,32768,32768,248511.1328125,320332.763671875,1344.125,191.875,255.875,1664.0,128.0,128.0,64.0,TELayerNormMlpDropout
gpt,6-7B,1,65536,65536,240271.3623046875,342758.5693359375,1344.125,191.875,255.875,1792.0,128.0,128.0,64.0,TELayerNormMlpDropout
gpt,6-7B,2,65536,65536,495129.39453125,658361.1328125,2688.25,895.75,511.75,3584.0,256.0,256.0,64.0,TELayerNormMlpDropout
