model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,2-6B,1,8192,8192,5693.439865112305,10024.55062866211,15.03515625,54.96484375,20.0,230.0,0.015625,10.0,165.0,LanguageModelEmbedding
GPT,2-6B,2,8192,8192,12999.679565429688,18539.92919921875,30.0703125,129.9296875,40.0,334.0,0.03125,20.0,165.0,LanguageModelEmbedding
GPT,2-6B,1,16384,16384,12971.417236328125,18927.206420898438,30.0703125,109.9296875,40.0,354.0,0.03125,20.0,205.0,LanguageModelEmbedding
GPT,2-6B,2,16384,16384,26565.426635742188,35759.71984863281,60.140625,259.859375,80.0,416.0,0.0625,40.0,205.0,LanguageModelEmbedding
GPT,2-6B,1,32768,32768,27137.02392578125,36771.84143066406,60.140625,219.859375,80.0,416.0,0.0625,40.0,285.0,LanguageModelEmbedding
GPT,2-6B,2,32768,32768,57445.172119140625,70353.91845703125,120.28125,519.71875,160.0,834.0,0.125,80.0,285.0,LanguageModelEmbedding
GPT,2-6B,1,8192,8192,26616.421508789062,23707.852172851562,438.19140625,561.80859375,8.140625,0.0,10.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
GPT,2-6B,2,8192,8192,53078.8330078125,49049.603271484375,840.1328125,1159.8671875,0.03125,0.0,20.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
GPT,2-6B,1,16384,16384,53527.55126953125,47582.6171875,820.1328125,1179.8671875,0.03125,0.0,20.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
GPT,2-6B,2,16384,16384,106322.94921875,95707.94677734375,1680.265625,2439.734375,0.0625,0.0,40.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
GPT,2-6B,1,32768,32768,106599.21875,96010.21728515625,1640.265625,2359.734375,0.0625,0.0,40.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
GPT,2-6B,2,32768,32768,222128.125,186277.685546875,3360.53125,4879.46875,0.125,0.0,80.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
GPT,2-6B,1,8192,8192,17129.676818847656,27261.952209472656,69.27001953125,198.72998046875,19.984375,0.0,10.0,10.0,25.0,TELayerNormSelfAttentionDropout
GPT,2-6B,2,8192,8192,35347.0458984375,53924.658203125,150.53564453125,0.0,39.96875,20.0,20.0,20.0,25.0,TELayerNormSelfAttentionDropout
GPT,2-6B,1,16384,16384,36891.64733886719,55218.17932128906,130.53564453125,149.46435546875,39.96875,50.0,20.0,20.0,25.0,TELayerNormSelfAttentionDropout
GPT,2-6B,2,16384,16384,75948.23608398438,114378.14331054688,301.06689453125,0.0,79.9375,0.0,40.0,40.0,25.0,TELayerNormSelfAttentionDropout
GPT,2-6B,1,32768,32768,81968.53637695312,122617.24243164062,261.06689453125,122.93310546875,79.9375,548.0,40.0,40.0,25.0,TELayerNormSelfAttentionDropout
GPT,2-6B,2,32768,32768,166288.7939453125,248504.1259765625,603.107421875,0.0,159.875,2.0,80.0,80.0,25.0,TELayerNormSelfAttentionDropout
GPT,2-6B,1,8192,8192,9662.258911132812,14524.826049804688,105.015625,140.984375,19.984375,0.0,10.0,10.0,50.0,TELayerNormMlpDropout
GPT,2-6B,2,8192,8192,19510.476684570312,28752.325439453125,210.03125,115.96875,39.96875,246.0,20.0,20.0,50.0,TELayerNormMlpDropout
GPT,2-6B,1,16384,16384,19703.39813232422,29114.77813720703,210.03125,115.96875,39.96875,246.0,20.0,20.0,50.0,TELayerNormMlpDropout
GPT,2-6B,2,16384,16384,41585.04943847656,58461.14196777344,420.0625,0.0,79.9375,480.0,40.0,40.0,50.0,TELayerNormMlpDropout
GPT,2-6B,1,32768,32768,42156.23779296875,60656.2255859375,420.0625,0.0,79.9375,480.0,40.0,40.0,50.0,TELayerNormMlpDropout
GPT,2-6B,2,32768,32768,84375.7568359375,126717.7490234375,840.125,39.875,159.875,960.0,80.0,80.0,50.0,TELayerNormMlpDropout
