model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,2-6B,1,8192,8192,13556.326293945312,16319.692993164062,15.0703125,114.9296875,20.0,88.0,0.03125,10.0,102.5,LanguageModelEmbedding
gpt,2-6B,2,8192,8192,28335.513305664062,31030.2734375,30.140625,289.859375,40.0,256.0,0.0625,20.0,102.5,LanguageModelEmbedding
gpt,2-6B,1,16384,16384,27799.960327148438,31331.329345703125,30.140625,229.859375,40.0,256.0,0.0625,20.0,142.5,LanguageModelEmbedding
gpt,2-6B,2,16384,16384,58101.556396484375,59937.384033203125,60.28125,579.71875,80.0,514.0,0.125,40.0,142.5,LanguageModelEmbedding
gpt,2-6B,1,32768,32768,56446.600341796875,60820.477294921875,60.28125,419.71875,80.0,514.0,0.125,40.0,222.5,LanguageModelEmbedding
gpt,2-6B,2,32768,32768,116332.5439453125,120354.6142578125,120.5625,1161.4375,160.0,866.0,0.25,80.0,222.5,LanguageModelEmbedding
gpt,2-6B,1,65536,65536,113126.40380859375,119050.439453125,120.5625,921.4375,160.0,1026.0,0.25,80.0,382.5,LanguageModelEmbedding
gpt,2-6B,2,65536,65536,233317.3828125,234866.2841796875,241.125,2320.875,320.0,2052.0,0.5,160.0,382.5,LanguageModelEmbedding
gpt,2-6B,1,8192,8192,30131.610107421875,23437.310791015625,458.2421875,541.7578125,8.15625,0.0,10.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,8192,8192,60151.605224609375,44827.435302734375,860.234375,1139.765625,0.0625,0.0,20.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,16384,16384,60156.31103515625,45222.0947265625,820.234375,1179.765625,0.0625,0.0,20.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,16384,16384,121521.15478515625,88715.27099609375,1720.46875,2439.53125,0.125,0.0,40.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,32768,32768,120560.83984375,90437.841796875,1640.46875,2359.53125,0.125,0.0,40.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,32768,32768,248605.078125,191247.55859375,3440.9375,4961.0625,0.25,0.0,80.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,65536,65536,249109.1064453125,196897.9736328125,3280.9375,4721.0625,0.25,0.0,80.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,1,8192,8192,16595.35369873047,24879.71954345703,70.248046875,0.0,19.984375,0.0,10.0,10.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,8192,8192,33406.15539550781,50862.28332519531,150.5322265625,0.0,39.96875,0.0,20.0,20.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,16384,16384,37095.6298828125,58744.012451171875,130.5322265625,0.0,39.96875,0.0,20.0,20.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,16384,16384,77616.74194335938,113196.85668945312,301.0634765625,0.0,79.9375,202.0,40.0,40.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,32768,32768,91819.62280273438,148886.94458007812,261.0634765625,0.0,79.9375,2.0,40.0,40.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,32768,32768,190357.09228515625,303986.26708984375,602.1259765625,0.0,159.875,720.0,80.0,80.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,65536,65536,259314.892578125,450818.84765625,522.1259765625,0.0,159.875,832.0,80.0,80.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormSelfAttentionDropout
gpt,2-6B,1,8192,8192,16074.957275390625,23196.466064453125,105.015625,0.0,19.984375,0.0,10.0,10.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,8192,8192,32420.248413085938,46459.08508300781,210.03125,0.0,39.96875,0.0,20.0,20.0,25.0,TELayerNormMlpDropout
gpt,2-6B,1,16384,16384,32717.00439453125,46547.76611328125,210.03125,0.0,39.96875,0.0,20.0,20.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,16384,16384,65544.6044921875,98229.45556640625,420.0625,0.0,79.9375,0.0,40.0,40.0,25.0,TELayerNormMlpDropout
gpt,2-6B,1,32768,32768,67567.41333007812,96457.11059570312,420.0625,0.0,79.9375,0.0,40.0,40.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,32768,32768,136968.603515625,194504.0771484375,840.125,0.0,159.875,1040.0,80.0,80.0,25.0,TELayerNormMlpDropout
gpt,2-6B,1,65536,65536,136129.33349609375,198958.48388671875,840.125,0.0,159.875,1040.0,80.0,80.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,65536,65536,273498.3154296875,380571.8505859375,1680.25,0.0,319.75,1920.0,160.0,160.0,25.0,TELayerNormMlpDropout
pout
