model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,350M,1,4096,4096,70.45120000839233,1935.1551055908203,6.0,14.0,8.0,100.0,0.0078125,4.0,108.0,LanguageModelEmbedding
GPT,350M,2,4096,4096,161.5872025489807,2248.089599609375,12.0,28.0,16.0,138.0,0.015625,8.0,108.0,LanguageModelEmbedding
GPT,350M,3,4096,4096,310.47680377960205,2369.536018371582,18.0,30.0,24.0,164.0,0.0234375,12.0,108.0,LanguageModelEmbedding
GPT,350M,1,8192,8192,179.8143982887268,2276.7616271972656,12.0,28.0,16.0,154.0,0.015625,8.0,116.0,LanguageModelEmbedding
GPT,350M,2,8192,8192,478.0032157897949,2700.0640869140625,24.0,56.0,32.0,184.0,0.03125,16.0,116.0,LanguageModelEmbedding
GPT,350M,3,8192,8192,898.0480194091797,3008.5119247436523,36.0,84.0,48.0,202.0,0.046875,24.0,116.0,LanguageModelEmbedding
GPT,350M,1,16384,16384,445.4847812652588,2886.8608474731445,24.0,0.0,32.0,184.0,0.03125,16.0,132.0,LanguageModelEmbedding
GPT,350M,2,16384,16384,1400.8319854736328,3781.2225341796875,48.0,112.0,64.0,268.0,0.0625,32.0,132.0,LanguageModelEmbedding
GPT,350M,3,16384,16384,2189.7216796875,4447.641754150391,72.0,168.0,96.0,302.0,0.09375,48.0,132.0,LanguageModelEmbedding
GPT,350M,1,32768,32768,1158.9632034301758,3927.654266357422,48.0,96.0,64.0,300.0,0.0625,32.0,164.0,LanguageModelEmbedding
GPT,350M,2,32768,32768,2952.191925048828,5953.945541381836,96.0,224.0,128.0,336.0,0.125,64.0,164.0,LanguageModelEmbedding
GPT,350M,3,32768,32768,4425.113677978516,7246.4385986328125,144.0,336.0,192.0,406.0,0.1875,96.0,164.0,LanguageModelEmbedding
GPT,350M,1,4096,4096,19793.101501464844,11735.859680175781,412.166015625,587.833984375,8.1328125,0.0,4.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,350M,2,4096,4096,38486.016845703125,22578.99169921875,808.08203125,1191.91796875,0.015625,0.0,8.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,350M,3,4096,4096,57746.844482421875,32544.76318359375,1212.123046875,1787.876953125,0.0234375,0.0,12.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,350M,1,8192,8192,39213.46435546875,22151.7822265625,808.08203125,1191.91796875,0.015625,0.0,8.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,350M,2,8192,8192,77063.16528320312,43671.356201171875,1616.1640625,2383.8359375,0.03125,0.0,16.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,350M,3,8192,8192,115987.04833984375,65546.8505859375,2424.24609375,3575.75390625,0.046875,0.0,24.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,350M,1,16384,16384,81110.01586914062,40187.493896484375,1616.1640625,2383.8359375,0.03125,0.0,16.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,350M,2,16384,16384,155471.875,91302.9052734375,3232.328125,4799.671875,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,350M,3,16384,16384,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
