model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,350M,1,8192,8192,5099.110412597656,7693.27392578125,6.0703125,61.9296875,8.0,36.0,0.03125,4.0,41.0,LanguageModelEmbedding
gpt,350M,2,8192,8192,10562.150573730469,17403.085327148438,12.140625,115.859375,16.0,104.0,0.0625,8.0,41.0,LanguageModelEmbedding
gpt,350M,1,16384,16384,10307.99331665039,17701.27410888672,12.140625,103.859375,16.0,104.0,0.0625,8.0,57.0,LanguageModelEmbedding
gpt,350M,2,16384,16384,22123.519897460938,35868.05725097656,24.28125,231.71875,32.0,208.0,0.125,16.0,57.0,LanguageModelEmbedding
gpt,350M,1,32768,32768,21563.186645507812,36071.832275390625,24.28125,167.71875,32.0,208.0,0.125,16.0,89.0,LanguageModelEmbedding
gpt,350M,2,32768,32768,45679.40979003906,73679.66918945312,48.5625,465.4375,64.0,348.0,0.25,32.0,89.0,LanguageModelEmbedding
gpt,350M,1,8192,8192,22339.173889160156,13261.619567871094,428.2421875,591.7578125,8.15625,0.0,4.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,2,8192,8192,44409.65270996094,25498.214721679688,824.234375,1227.765625,0.0625,0.0,8.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,1,16384,16384,44466.17736816406,26125.723266601562,808.234375,1191.765625,0.0625,0.0,8.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,2,16384,16384,88540.97900390625,49881.25,1648.46875,2415.53125,0.125,2.0,16.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,1,32768,32768,88771.17309570312,50827.069091796875,1616.46875,2383.53125,0.125,2.0,16.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,2,32768,32768,177664.8193359375,99392.1142578125,3296.9375,4833.0625,0.25,0.0,32.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,350M,1,8192,8192,6027.059173583984,9521.561431884766,30.1416015625,0.0,7.984375,0.0,4.0,4.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,2,8192,8192,11990.425872802734,18888.459014892578,60.2822265625,0.0,15.96875,0.0,8.0,8.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,1,16384,16384,13117.849731445312,20955.340576171875,52.2822265625,301.7177734375,15.96875,0.0,8.0,8.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,2,16384,16384,26203.13720703125,42168.0908203125,120.5634765625,103.4365234375,31.9375,144.0,16.0,16.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,1,32768,32768,30271.896362304688,51636.01989746094,104.5634765625,103.4365234375,31.9375,192.0,16.0,16.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,2,32768,32768,61190.75927734375,105315.12451171875,241.1259765625,206.8740234375,63.875,290.0,32.0,32.0,2.0,TELayerNormSelfAttentionDropout
gpt,350M,1,8192,8192,5636.3006591796875,8672.256469726562,42.015625,219.984375,7.984375,246.0,4.0,4.0,4.0,TELayerNormMlpDropout
gpt,350M,2,8192,8192,11583.283233642578,16932.454681396484,84.03125,225.96875,15.96875,246.0,8.0,8.0,4.0,TELayerNormMlpDropout
gpt,350M,1,16384,16384,11373.567962646484,17253.784942626953,84.03125,225.96875,15.96875,246.0,8.0,8.0,4.0,TELayerNormMlpDropout
gpt,350M,2,16384,16384,23167.999267578125,34246.441650390625,168.0625,221.9375,31.9375,246.0,16.0,16.0,4.0,TELayerNormMlpDropout
gpt,350M,1,32768,32768,23315.660095214844,34519.03839111328,168.0625,39.9375,31.9375,236.0,16.0,16.0,4.0,TELayerNormMlpDropout
gpt,350M,2,32768,32768,46956.33850097656,69356.73522949219,336.125,111.875,63.875,428.0,32.0,32.0,4.0,TELayerNormMlpDropout
