model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,2-6B,1,4096,4096,176.98816299438477,1945.2928161621094,30.0,60.0,40.0,334.0,0.015625,20.0,270.0,LanguageModelEmbedding
gpt,2-6B,2,4096,4096,515.1129531860352,2266.5625,60.0,140.0,80.0,378.0,0.03125,40.0,270.0,LanguageModelEmbedding
gpt,2-6B,4,4096,4096,1307.0745849609375,2913.0752563476562,120.0,280.0,160.0,466.0,0.0625,80.0,270.0,LanguageModelEmbedding
gpt,2-6B,8,4096,4096,2628.4442138671875,4079.3484497070312,240.0,560.0,320.0,644.0,0.125,160.0,270.0,LanguageModelEmbedding
gpt,2-6B,16,4096,4096,5226.6595458984375,6372.86376953125,480.0,1120.0,640.0,962.0,0.25,320.0,270.0,LanguageModelEmbedding
gpt,2-6B,1,8192,8192,496.8044662475586,2408.775634765625,60.0,0.0,80.0,378.0,0.03125,40.0,290.0,LanguageModelEmbedding
gpt,2-6B,2,8192,8192,1355.2024841308594,3267.1539306640625,120.0,280.0,160.0,506.0,0.0625,80.0,290.0,LanguageModelEmbedding
gpt,2-6B,4,8192,8192,2698.4039306640625,4463.288269042969,240.0,560.0,320.0,684.0,0.125,160.0,290.0,LanguageModelEmbedding
gpt,2-6B,8,8192,8192,5341.798095703125,6703.966064453125,480.0,1120.0,640.0,1106.0,0.25,320.0,290.0,LanguageModelEmbedding
gpt,2-6B,16,8192,8192,10595.225830078125,11218.800048828125,960.0,2240.0,1280.0,1284.0,0.5,640.0,290.0,LanguageModelEmbedding
gpt,2-6B,1,4096,4096,16000.880126953125,12831.356201171875,828.20703125,1171.79296875,8.140625,0.0,20.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,2,4096,4096,31913.84033203125,24831.77490234375,1640.1640625,2399.8359375,0.03125,0.0,40.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,4,4096,4096,64205.3955078125,48543.0224609375,3280.328125,4719.671875,0.0625,0.0,80.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,8,4096,4096,128859.27734375,99782.48046875,6560.65625,9439.34375,0.125,0.0,160.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,16,4096,4096,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,1,8192,8192,32612.84423828125,24293.86474609375,1640.1640625,2399.8359375,0.03125,0.0,40.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,2,8192,8192,64669.5751953125,49319.2822265625,3280.328125,4719.671875,0.0625,0.0,80.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,4,8192,8192,129756.42578125,100907.03125,6560.65625,9439.34375,0.125,0.0,160.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
gpt,2-6B,8,8192,8192,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,16,8192,8192,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,1,4096,4096,1908.9613342285156,4524.933319091797,134.5322265625,0.0,19.96875,0.0,20.0,20.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,2,4096,4096,4157.235107421875,8496.640625,301.0732421875,24.9267578125,39.9375,248.0,40.0,40.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,4,4096,4096,8721.612548828125,17036.553955078125,602.5966796875,0.0,79.875,752.0,80.0,80.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,8,4096,4096,18031.71875,34184.8046875,1204.2509765625,235.7490234375,159.75,1504.0,160.0,160.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,16,4096,4096,36459.31640625,69836.26953125,2408.5009765625,791.4990234375,319.5,3008.0,320.0,320.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,1,8192,8192,5420.6463623046875,11253.289184570312,261.0732421875,24.9267578125,39.9375,248.0,40.0,40.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,2,8192,8192,11384.462890625,22008.66943359375,602.5966796875,43.4033203125,79.875,678.0,80.0,80.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,4,8192,8192,23303.740234375,44155.595703125,1204.2509765625,395.7490234375,159.75,1664.0,160.0,160.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,8,8192,8192,47267.021484375,88950.126953125,2408.5009765625,791.4990234375,319.5,3008.0,320.0,320.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,16,8192,8192,96810.556640625,178561.611328125,4817.0009765625,1582.9990234375,639.0,6656.0,640.0,640.0,50.0,TELayerNormSelfAttentionDropout
gpt,2-6B,1,4096,4096,2366.0748291015625,4855.091552734375,210.03125,0.0,19.96875,240.0,20.0,20.0,100.0,TELayerNormMlpDropout
gpt,2-6B,2,4096,4096,5047.685241699219,9246.720275878906,420.0625,0.0,39.9375,406.0,40.0,40.0,100.0,TELayerNormMlpDropout
gpt,2-6B,4,4096,4096,10534.359130859375,17413.631591796875,840.125,0.0,79.875,800.0,80.0,80.0,100.0,TELayerNormMlpDropout
gpt,2-6B,8,4096,4096,21888.65478515625,34034.44091796875,1680.25,0.0,159.75,1760.0,160.0,160.0,100.0,TELayerNormMlpDropout
gpt,2-6B,16,4096,4096,43254.39453125,68297.0703125,3360.5,159.5,319.5,3520.0,320.0,320.0,100.0,TELayerNormMlpDropout
gpt,2-6B,1,8192,8192,5123.0108642578125,9973.800659179688,420.0625,0.0,39.9375,560.0,40.0,40.0,100.0,TELayerNormMlpDropout
gpt,2-6B,2,8192,8192,10546.524658203125,18740.203857421875,840.125,45.875,79.875,886.0,80.0,80.0,100.0,TELayerNormMlpDropout
gpt,2-6B,4,8192,8192,21766.88232421875,34680.74951171875,1680.25,0.0,159.75,1760.0,160.0,160.0,100.0,TELayerNormMlpDropout
gpt,2-6B,8,8192,8192,43267.1533203125,68372.7099609375,3360.5,159.5,319.5,3520.0,320.0,320.0,100.0,TELayerNormMlpDropout
gpt,2-6B,16,8192,8192,89123.779296875,134526.533203125,6721.0,639.0,639.0,7040.0,640.0,640.0,100.0,TELayerNormMlpDropout
