model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,2-6B,1,8192,8192,10658.81576538086,13221.478271484375,30.0703125,109.9296875,40.0,254.0,0.03125,20.0,165.0,LanguageModelEmbedding
gpt,2-6B,2,8192,8192,24860.447692871094,26541.656494140625,60.140625,259.859375,80.0,462.0,0.0625,40.0,165.0,LanguageModelEmbedding
gpt,2-6B,1,16384,16384,24309.759521484375,26905.599975585938,60.140625,219.859375,80.0,376.0,0.0625,40.0,205.0,LanguageModelEmbedding
gpt,2-6B,2,16384,16384,48067.9931640625,53049.54833984375,120.28125,519.71875,160.0,674.0,0.125,80.0,205.0,LanguageModelEmbedding
gpt,2-6B,1,32768,32768,45280.66711425781,53421.258544921875,120.28125,439.71875,160.0,754.0,0.125,80.0,285.0,LanguageModelEmbedding
gpt,2-6B,2,32768,32768,102202.98461914062,106127.978515625,240.5625,1041.4375,320.0,1346.0,0.25,160.0,285.0,LanguageModelEmbedding
gpt,2-6B,1,65536,65536,100868.91479492188,106337.6953125,240.5625,721.4375,320.0,1506.0,0.25,160.0,445.0,LanguageModelEmbedding
gpt,2-6B,2,65536,65536,204851.1962890625,207758.9599609375,481.125,2080.875,640.0,2372.0,0.5,320.0,445.0,LanguageModelEmbedding
gpt,2-6B,1,8192,8192,22509.97772216797,22138.67645263672,868.2578125,1131.7421875,8.15625,0.0,20.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
gpt,2-6B,2,8192,8192,44670.751953125,43551.5380859375,1680.265625,2399.734375,0.0625,0.0,40.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
gpt,2-6B,1,16384,16384,45122.7783203125,43784.381103515625,1640.265625,2359.734375,0.0625,0.0,40.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
gpt,2-6B,2,16384,16384,89589.55688476562,85138.43383789062,3360.53125,4879.46875,0.125,0.0,80.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
gpt,2-6B,1,32768,32768,91388.720703125,85483.9111328125,3280.53125,4719.46875,0.125,0.0,80.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
gpt,2-6B,2,32768,32768,180734.97314453125,169724.71923828125,6721.0625,9280.9375,0.25,0.0,160.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
gpt,2-6B,1,65536,65536,182817.3828125,174367.7490234375,6561.0625,9440.9375,0.25,0.0,160.0,1.9073486328125e-06,125.0,TELayerNormPostProcess
gpt,2-6B,2,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,2-6B,1,8192,8192,14334.976196289062,22973.849487304688,134.5322265625,0.0,39.96875,0.0,20.0,20.0,25.0,TELayerNormSelfAttentionDropout
gpt,2-6B,2,8192,8192,29684.939575195312,45499.60021972656,302.04150390625,0.0,79.9375,2.0,40.0,40.0,25.0,TELayerNormSelfAttentionDropout
gpt,2-6B,1,16384,16384,31552.511596679688,51348.68469238281,262.04150390625,0.0,79.9375,2.0,40.0,40.0,25.0,TELayerNormSelfAttentionDropout
gpt,2-6B,2,16384,16384,66439.37377929688,100848.43139648438,602.1259765625,0.0,159.875,592.0,80.0,80.0,25.0,TELayerNormSelfAttentionDropout
gpt,2-6B,1,32768,32768,77248.71826171875,130852.64892578125,522.1259765625,0.0,159.875,272.0,80.0,80.0,25.0,TELayerNormSelfAttentionDropout
gpt,2-6B,2,32768,32768,163837.95166015625,253892.61474609375,1204.2509765625,0.0,319.75,1184.0,160.0,160.0,25.0,TELayerNormSelfAttentionDropout
gpt,2-6B,1,65536,65536,198065.771484375,347896.435546875,1044.2509765625,0.0,319.75,1184.0,160.0,160.0,25.0,TELayerNormSelfAttentionDropout
gpt,2-6B,2,65536,65536,397357.470703125,703543.701171875,2408.5009765625,471.4990234375,639.5,2368.0,320.0,320.0,25.0,TELayerNormSelfAttentionDropout
gpt,2-6B,1,8192,8192,14237.490844726562,21272.98583984375,210.03125,0.0,40.94677734375,0.0,20.0,20.0,50.0,TELayerNormMlpDropout
gpt,2-6B,2,8192,8192,28746.340942382812,41808.88977050781,420.0625,0.0,79.9375,0.0,40.0,40.0,50.0,TELayerNormMlpDropout
gpt,2-6B,1,16384,16384,28896.051025390625,42332.568359375,420.0625,0.0,79.9375,0.0,40.0,40.0,50.0,TELayerNormMlpDropout
gpt,2-6B,2,16384,16384,57390.10009765625,90820.78857421875,840.125,0.0,159.875,800.0,80.0,80.0,50.0,TELayerNormMlpDropout
gpt,2-6B,1,32768,32768,57759.7412109375,87017.27294921875,840.125,0.0,159.875,800.0,80.0,80.0,50.0,TELayerNormMlpDropout
gpt,2-6B,2,32768,32768,131535.87646484375,175469.56787109375,1680.25,0.0,319.75,2080.0,160.0,160.0,50.0,TELayerNormMlpDropout
gpt,2-6B,1,65536,65536,127500.9033203125,180342.3828125,1680.25,0.0,319.75,2080.0,160.0,160.0,50.0,TELayerNormMlpDropout
gpt,2-6B,2,65536,65536,264058.4716796875,349416.4306640625,3360.5,0.0,639.5,3840.0,320.0,320.0,50.0,TELayerNormMlpDropout
opout
