model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,2-6B,1,8192,8192,189.25440311431885,2069.503974914551,30.0,60.0,40.0,374.0,0.015625,20.0,290.0,LanguageModelEmbedding
GPT,2-6B,2,8192,8192,513.6384010314941,2461.2863540649414,60.0,140.0,80.0,458.0,0.03125,40.0,290.0,LanguageModelEmbedding
GPT,2-6B,1,16384,16384,448.69117736816406,2588.6720657348633,60.0,120.0,80.0,498.0,0.03125,40.0,330.0,LanguageModelEmbedding
GPT,2-6B,2,16384,16384,1315.4303550720215,3458.457565307617,120.0,280.0,160.0,666.0,0.0625,80.0,330.0,LanguageModelEmbedding
GPT,2-6B,1,32768,32768,1070.0799942016602,3509.4528198242188,120.0,240.0,160.0,746.0,0.0625,80.0,410.0,LanguageModelEmbedding
GPT,2-6B,2,32768,32768,2645.6064224243164,5301.45263671875,240.0,560.0,320.0,834.0,0.125,160.0,410.0,LanguageModelEmbedding
GPT,2-6B,1,8192,8192,16071.270751953125,13326.763916015625,828.20703125,1171.79296875,8.140625,0.0,20.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,2,8192,8192,32093.389892578125,25436.566162109375,1640.1640625,2359.8359375,0.03125,0.0,40.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,1,16384,16384,33053.68957519531,25097.634887695312,1640.1640625,2359.8359375,0.03125,0.0,40.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,2,16384,16384,64553.369140625,51121.5576171875,3280.328125,4799.671875,0.0625,0.0,80.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,1,32768,32768,66348.828125,50002.1484375,3280.328125,4719.671875,0.0625,0.0,80.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,2,32768,32768,129937.40234375,100870.1416015625,6560.65625,9599.34375,0.125,0.0,160.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,1,8192,8192,16223.641967773438,31028.427124023438,134.53564453125,125.46435546875,19.96875,0.0,20.0,20.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,2,8192,8192,32711.883544921875,61689.41650390625,301.06689453125,508.93310546875,39.9375,240.0,40.0,40.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,1,16384,16384,33376.666259765625,62098.004150390625,261.06689453125,0.0,39.9375,228.0,40.0,40.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,2,16384,16384,67063.60473632812,123980.38940429688,602.12939453125,219.87060546875,79.875,1578.0,80.0,80.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,1,32768,32768,70171.64916992188,123940.48461914062,522.12939453125,0.0,79.875,2.0,80.0,80.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,2,32768,32768,140930.87158203125,247806.57958984375,1204.25439453125,897.74560546875,159.75,3384.0,160.0,160.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,1,8192,8192,2062.335968017578,4666.572570800781,210.03125,0.0,19.96875,190.0,20.0,20.0,100.0,TELayerNormMlpDropout
GPT,2-6B,2,8192,8192,4384.153747558594,8976.15966796875,420.0625,0.0,39.9375,560.0,40.0,40.0,100.0,TELayerNormMlpDropout
GPT,2-6B,1,16384,16384,4381.900787353516,10163.603973388672,420.0625,0.0,39.9375,560.0,40.0,40.0,100.0,TELayerNormMlpDropout
GPT,2-6B,2,16384,16384,9285.017395019531,18737.97149658203,840.134765625,0.0,79.875,1040.0,80.0,80.0,100.0,TELayerNormMlpDropout
GPT,2-6B,1,32768,32768,9507.225799560547,20132.657623291016,840.134765625,0.0,79.875,1040.0,80.0,80.0,100.0,TELayerNormMlpDropout
GPT,2-6B,2,32768,32768,19257.34405517578,36887.34588623047,1680.25,0.0,159.75,1810.0,160.0,160.0,100.0,TELayerNormMlpDropout
