model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,350M,1,4096,4096,185.13920307159424,704.9215793609619,6.0,14.0,8.0,100.0,0.0078125,4.0,108.0,LanguageModelEmbedding
gpt,350M,2,4096,4096,216.0640001296997,853.1968116760254,12.0,28.0,16.0,138.0,0.015625,8.0,108.0,LanguageModelEmbedding
gpt,350M,3,4096,4096,238.43200206756592,895.6159591674805,18.0,30.0,24.0,164.0,0.0234375,12.0,108.0,LanguageModelEmbedding
gpt,350M,1,8192,8192,153.60000133514404,858.9311599731445,12.0,28.0,16.0,154.0,0.015625,8.0,116.0,LanguageModelEmbedding
gpt,350M,2,8192,8192,162.21439838409424,983.0400466918945,24.0,56.0,32.0,184.0,0.03125,16.0,116.0,LanguageModelEmbedding
gpt,350M,3,8192,8192,215.44959545135498,1062.7327919006348,36.0,84.0,48.0,202.0,0.046875,24.0,116.0,LanguageModelEmbedding
gpt,350M,1,16384,16384,140.49279689788818,988.3647918701172,24.0,0.0,32.0,184.0,0.03125,16.0,132.0,LanguageModelEmbedding
gpt,350M,2,16384,16384,314.572811126709,1277.132797241211,48.0,112.0,64.0,268.0,0.0625,32.0,132.0,LanguageModelEmbedding
gpt,350M,3,16384,16384,623.6159801483154,1509.171199798584,72.0,168.0,96.0,302.0,0.09375,48.0,132.0,LanguageModelEmbedding
gpt,350M,1,32768,32768,287.935996055603,1425.6128311157227,48.0,96.0,64.0,300.0,0.0625,32.0,164.0,LanguageModelEmbedding
gpt,350M,2,32768,32768,969.9328422546387,2044.108772277832,96.0,224.0,128.0,336.0,0.125,64.0,164.0,LanguageModelEmbedding
gpt,350M,3,32768,32768,1533.1328392028809,2517.625617980957,144.0,336.0,192.0,406.0,0.1875,96.0,164.0,LanguageModelEmbedding
gpt,350M,1,4096,4096,7045.32470703125,4308.582305908203,412.166015625,587.833984375,8.1328125,0.0,4.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,2,4096,4096,14010.368347167969,8285.151672363281,808.08203125,1191.91796875,0.015625,0.0,8.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,3,4096,4096,20981.146240234375,11917.105102539062,1212.123046875,1787.876953125,0.0234375,0.0,12.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,1,8192,8192,14778.163146972656,7691.084289550781,808.08203125,1191.91796875,0.015625,0.0,8.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,2,8192,8192,27702.682495117188,16089.886474609375,1616.1640625,2383.8359375,0.03125,0.0,16.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,3,8192,8192,42007.3486328125,23402.288818359375,2424.24609375,3575.75390625,0.046875,0.0,24.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,1,16384,16384,29294.796752929688,15767.141723632812,1616.1640625,2383.8359375,0.03125,0.0,16.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,2,16384,16384,54162.432861328125,31152.740478515625,3232.328125,4799.671875,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,3,16384,16384,83103.33251953125,45148.35205078125,4848.4921875,7199.5078125,0.09375,0.0,48.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,1,32768,32768,57206.781005859375,30743.145751953125,3232.328125,4799.671875,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,2,32768,32768,108441.39404296875,62623.9501953125,6464.65625,9535.34375,0.125,0.0,64.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,3,32768,32768,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,350M,1,4096,4096,3015.884780883789,6020.505905151367,30.14501953125,483.85498046875,3.984375,0.0,4.0,4.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,2,4096,4096,6168.14079284668,11732.403945922852,60.28564453125,545.71435546875,7.96875,0.0,8.0,8.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,3,4096,4096,9201.254272460938,17776.846313476562,90.42626953125,75.57373046875,11.953125,252.0,12.0,12.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,1,8192,8192,6212.812805175781,11766.78466796875,52.28564453125,461.71435546875,7.96875,0.0,8.0,8.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,2,8192,8192,12469.292449951172,23528.607940673828,120.56689453125,261.43310546875,15.9375,312.0,16.0,16.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,3,8192,8192,18342.91229248047,35343.153381347656,180.84814453125,0.0,23.90625,340.0,24.0,24.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,1,16384,16384,12617.12646484375,23745.294189453125,104.56689453125,0.0,15.9375,164.0,16.0,16.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,2,16384,16384,25422.848510742188,46892.64831542969,241.12939453125,0.0,31.875,0.0,32.0,32.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,3,16384,16384,37984.869384765625,71674.88403320312,362.16845703125,0.0,47.8125,1012.0,48.0,48.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,1,32768,32768,26849.075317382812,47303.26843261719,209.12939453125,130.87060546875,31.875,580.0,32.0,32.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,2,32768,32768,53378.86962890625,95196.32568359375,482.25439453125,0.0,63.75,2.0,64.0,64.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,3,32768,32768,80216.9189453125,143045.3857421875,723.37939453125,0.0,95.625,1154.0,96.0,96.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,1,4096,4096,630.9887886047363,1110.4256629943848,42.015625,0.0,3.984375,64.0,4.0,4.0,16.0,TELayerNormMlpDropout
gpt,350M,2,4096,4096,620.1344013214111,1197.055959701538,84.03125,161.96875,7.96875,246.0,8.0,8.0,16.0,TELayerNormMlpDropout
gpt,350M,3,4096,4096,593.3055877685547,1511.2192153930664,126.046875,0.0,11.953125,260.0,12.0,12.0,16.0,TELayerNormMlpDropout
gpt,350M,1,8192,8192,612.556791305542,1065.1648044586182,84.03125,0.0,7.96875,140.0,8.0,8.0,16.0,TELayerNormMlpDropout
gpt,350M,2,8192,8192,774.1439819335938,1909.5552444458008,168.0625,0.0,15.9375,284.0,16.0,16.0,16.0,TELayerNormMlpDropout
gpt,350M,3,8192,8192,1229.4143676757812,2845.9007263183594,252.09375,0.0,23.90625,348.0,24.0,24.0,16.0,TELayerNormMlpDropout
gpt,350M,1,16384,16384,773.1200218200684,1953.996753692627,168.0625,0.0,15.9375,252.0,16.0,16.0,16.0,TELayerNormMlpDropout
gpt,350M,2,16384,16384,1845.0687408447266,3773.004913330078,336.125,0.0,31.875,460.0,32.0,32.0,16.0,TELayerNormMlpDropout
gpt,350M,3,16384,16384,2956.697654724121,5816.729164123535,504.1875,0.0,47.8125,636.0,48.0,48.0,16.0,TELayerNormMlpDropout
gpt,350M,1,32768,32768,1872.2816467285156,3979.4689178466797,336.125,0.0,31.875,460.0,32.0,32.0,16.0,TELayerNormMlpDropout
gpt,350M,2,32768,32768,3900.8255004882812,7531.699371337891,672.25,0.0,63.75,812.0,64.0,64.0,16.0,TELayerNormMlpDropout
gpt,350M,3,32768,32768,5785.395050048828,11270.55435180664,1008.375,95.625,95.625,1164.0,96.0,96.0,16.0,TELayerNormMlpDropout
