model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,6-7B,1,8192,8192,911.359977722168,3958.7841033935547,96.0,192.0,128.0,670.0,0.03125,64.0,464.0,LanguageModelEmbedding
gpt,6-7B,2,8192,8192,2242.5216674804688,5397.094345092773,192.0,448.0,256.0,810.0,0.0625,128.0,464.0,LanguageModelEmbedding
gpt,6-7B,1,16384,16384,1926.963233947754,5160.550308227539,192.0,384.0,256.0,938.0,0.0625,128.0,528.0,LanguageModelEmbedding
gpt,6-7B,2,16384,16384,4427.571105957031,7744.512176513672,384.0,896.0,512.0,1222.0,0.125,256.0,528.0,LanguageModelEmbedding
gpt,6-7B,1,32768,32768,3814.400100708008,7233.945465087891,384.0,768.0,512.0,1078.0,0.125,256.0,656.0,LanguageModelEmbedding
gpt,6-7B,2,32768,32768,8782.643127441406,12353.164672851562,768.0,1792.0,1024.0,1642.0,0.25,512.0,656.0,LanguageModelEmbedding
gpt,6-7B,1,65536,65536,7530.70068359375,11291.238403320312,768.0,1536.0,1024.0,2156.0,0.25,512.0,912.0,LanguageModelEmbedding
gpt,6-7B,2,65536,65536,17751.858520507812,21724.159240722656,1536.0,3584.0,2048.0,3282.0,0.5,1024.0,912.0,LanguageModelEmbedding
gpt,6-7B,1,8192,8192,37749.96337890625,34352.130126953125,1672.2890625,1527.7109375,8.15625,0.0,64.0,1.9073486328125e-06,400.0,TELayerNormPostProcess
gpt,6-7B,2,8192,8192,75721.337890625,68670.849609375,3328.328125,4671.671875,0.0625,0.0,128.0,1.9073486328125e-06,400.0,TELayerNormPostProcess
gpt,6-7B,1,16384,16384,75913.623046875,68129.79736328125,3328.328125,4671.671875,0.0625,0.0,128.0,1.9073486328125e-06,400.0,TELayerNormPostProcess
gpt,6-7B,2,16384,16384,154215.625,141778.7353515625,6656.65625,9343.34375,0.125,0.0,256.0,1.9073486328125e-06,400.0,TELayerNormPostProcess
gpt,6-7B,1,32768,32768,156586.80419921875,142687.43896484375,6656.65625,9343.34375,0.125,0.0,256.0,1.9073486328125e-06,400.0,TELayerNormPostProcess
gpt,6-7B,2,32768,32768,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,6-7B,1,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,6-7B,2,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,6-7B,1,8192,8192,9155.379486083984,23457.990264892578,421.0634765625,0.0,63.9375,440.0,64.0,64.0,128.0,TELayerNormSelfAttentionDropout
gpt,6-7B,2,8192,8192,18562.661743164062,43983.87145996094,962.1259765625,61.8740234375,127.875,1152.0,128.0,128.0,128.0,TELayerNormSelfAttentionDropout
gpt,6-7B,1,16384,16384,25538.150024414062,60793.44787597656,834.1259765625,0.0,127.875,1152.0,128.0,128.0,128.0,TELayerNormSelfAttentionDropout
gpt,6-7B,2,16384,16384,51434.28955078125,117192.90771484375,1924.2509765625,379.7490234375,255.75,2550.0,256.0,256.0,128.0,TELayerNormSelfAttentionDropout
gpt,6-7B,1,32768,32768,75323.59619140625,187059.19189453125,1668.2509765625,379.7490234375,255.75,2304.0,256.0,256.0,128.0,TELayerNormSelfAttentionDropout
gpt,6-7B,2,32768,32768,150358.837890625,371003.173828125,3848.5009765625,1271.4990234375,511.5,4608.0,512.0,512.0,128.0,TELayerNormSelfAttentionDropout
gpt,6-7B,1,65536,65536,241531.689453125,631252.001953125,3336.5009765625,1271.4990234375,511.5,4608.0,512.0,512.0,128.0,TELayerNormSelfAttentionDropout
gpt,6-7B,2,65536,65536,491338.96484375,1257563.76953125,7697.0009765625,2542.9990234375,1023.0,10240.0,1024.0,1024.0,128.0,TELayerNormSelfAttentionDropout
gpt,6-7B,1,8192,8192,12583.526611328125,26105.239868164062,672.0625,85.9375,63.9375,886.0,64.0,64.0,256.0,TELayerNormMlpDropout
gpt,6-7B,2,8192,8192,25224.60174560547,47216.23077392578,1344.125,53.875,127.875,1782.0,128.0,128.0,256.0,TELayerNormMlpDropout
gpt,6-7B,1,16384,16384,25659.597778320312,50848.56262207031,1344.125,0.0,127.875,1782.0,128.0,128.0,256.0,TELayerNormMlpDropout
gpt,6-7B,2,16384,16384,51696.026611328125,96267.66967773438,2688.25,127.75,255.75,2816.0,256.0,256.0,256.0,TELayerNormMlpDropout
gpt,6-7B,1,32768,32768,53364.73388671875,103692.49267578125,2688.25,127.75,255.75,2816.0,256.0,256.0,256.0,TELayerNormMlpDropout
gpt,6-7B,2,32768,32768,106342.6025390625,187934.521484375,5376.5,0.0,511.5,5632.0,512.0,512.0,256.0,TELayerNormMlpDropout
gpt,6-7B,1,65536,65536,109534.41162109375,198585.75439453125,5376.5,511.5,511.5,5632.0,512.0,512.0,256.0,TELayerNormMlpDropout
gpt,6-7B,2,65536,65536,219960.7177734375,380700.4638671875,10753.0,1023.0,1023.0,11264.0,1024.0,1024.0,256.0,TELayerNormMlpDropout
