model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,2-6B,1,4096,4096,5907.92724609375,5365.1043701171875,7.53515625,72.46484375,10.0,108.0,0.015625,5.0,82.5,LanguageModelEmbedding
gpt,2-6B,2,4096,4096,11932.958984375,11839.0576171875,15.0703125,144.9296875,20.0,192.0,0.03125,10.0,82.5,LanguageModelEmbedding
gpt,2-6B,4,4096,4096,24481.9775390625,23869.05029296875,30.140625,289.859375,40.0,296.0,0.0625,20.0,82.5,LanguageModelEmbedding
gpt,2-6B,8,4096,4096,49755.17578125,46885.1318359375,60.28125,579.71875,80.0,482.0,0.125,40.0,82.5,LanguageModelEmbedding
gpt,2-6B,16,4096,4096,102042.94921875,93449.6875,120.5625,1161.4375,160.0,960.0,0.25,80.0,82.5,LanguageModelEmbedding
gpt,2-6B,1,8192,8192,11910.83984375,12042.158203125,15.0703125,0.0,20.0,88.0,0.03125,10.0,102.5,LanguageModelEmbedding
gpt,2-6B,2,8192,8192,24971.32568359375,24139.345703125,30.140625,129.859375,40.0,216.0,0.0625,20.0,102.5,LanguageModelEmbedding
gpt,2-6B,4,8192,8192,50641.40625,47238.9013671875,60.28125,419.71875,80.0,474.0,0.125,40.0,102.5,LanguageModelEmbedding
gpt,2-6B,8,8192,8192,102747.587890625,94103.984375,120.5625,1161.4375,160.0,960.0,0.25,80.0,102.5,LanguageModelEmbedding
gpt,2-6B,16,8192,8192,205278.96484375,186316.26953125,241.125,2320.875,320.0,1922.0,0.5,160.0,102.5,LanguageModelEmbedding
gpt,2-6B,1,4096,4096,7507.7630615234375,7770.3375244140625,233.18359375,266.81640625,8.140625,0.0,5.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,4096,4096,14578.544921875,15558.0419921875,430.1171875,609.8828125,0.03125,0.0,10.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,4,4096,4096,29286.56494140625,30855.59814453125,860.234375,1219.765625,0.0625,0.0,20.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,8,4096,4096,58754.2724609375,61869.2626953125,1720.46875,2479.53125,0.125,0.0,40.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,16,4096,4096,118171.15234375,123379.2578125,3440.9375,4961.0625,0.25,0.0,80.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,8192,8192,14822.216796875,15597.0947265625,410.1171875,589.8828125,0.03125,0.0,10.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,8192,8192,29319.66064453125,30903.17138671875,820.234375,1179.765625,0.0625,0.0,20.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,4,8192,8192,58836.2353515625,62181.3330078125,1640.46875,2359.53125,0.125,0.0,40.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,8,8192,8192,118168.02734375,123781.58203125,3280.9375,4721.0625,0.25,0.0,80.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,16,8192,8192,237308.984375,246019.453125,6881.875,9762.125,0.5,0.0,160.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,4096,4096,6848.3892822265625,10525.491333007812,37.2587890625,0.0,9.9921875,40.0,5.0,5.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,4096,4096,13655.01953125,20729.4873046875,76.2666015625,219.7333984375,19.984375,0.0,10.0,10.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,4,4096,4096,27440.45654296875,41467.10205078125,150.5322265625,129.4677734375,39.96875,240.0,20.0,20.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,8,4096,4096,55462.6025390625,84251.4208984375,301.0634765625,218.9365234375,79.9375,362.0,40.0,40.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,16,4096,4096,111638.955078125,169406.455078125,602.1259765625,517.8740234375,159.875,720.0,80.0,80.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,8192,8192,13933.85498046875,21452.16552734375,65.2666015625,180.7333984375,19.984375,0.0,10.0,10.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,8192,8192,27979.91943359375,42797.34130859375,150.5322265625,255.4677734375,39.96875,0.0,20.0,20.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,4,8192,8192,56429.853515625,86476.435546875,301.0634765625,218.9365234375,79.9375,362.0,40.0,40.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,8,8192,8192,113381.1328125,174500.29296875,602.1259765625,517.8740234375,159.875,720.0,80.0,80.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,16,8192,8192,234026.6796875,367375.8984375,1204.2509765625,1035.7490234375,319.75,1920.0,160.0,160.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,4096,4096,6917.3455810546875,10389.155883789062,52.5078125,0.0,9.9921875,134.0,5.0,5.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,4096,4096,13760.3271484375,20494.60205078125,105.015625,220.984375,19.984375,246.0,10.0,10.0,25.0,TELayerNormMlpDropout
gpt,2-6B,4,4096,4096,27686.58447265625,41197.82958984375,210.03125,69.96875,39.96875,282.0,20.0,20.0,25.0,TELayerNormMlpDropout
gpt,2-6B,8,4096,4096,55822.5390625,83599.912109375,420.0625,99.9375,79.9375,628.0,40.0,40.0,25.0,TELayerNormMlpDropout
gpt,2-6B,16,4096,4096,112399.70703125,168579.98046875,840.125,279.875,159.875,1148.0,80.0,80.0,25.0,TELayerNormMlpDropout
gpt,2-6B,1,8192,8192,13760.0,20407.97119140625,105.015625,230.984375,19.984375,246.0,10.0,10.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,8192,8192,27724.94384765625,40860.62744140625,210.03125,195.96875,39.96875,326.0,20.0,20.0,25.0,TELayerNormMlpDropout
gpt,2-6B,4,8192,8192,56057.6708984375,83353.5009765625,420.0625,99.9375,79.9375,628.0,40.0,40.0,25.0,TELayerNormMlpDropout
gpt,2-6B,8,8192,8192,112509.501953125,167315.009765625,840.125,279.875,159.875,1148.0,80.0,80.0,25.0,TELayerNormMlpDropout
gpt,2-6B,16,8192,8192,228232.6171875,337995.9765625,1680.25,399.75,319.75,2240.0,160.0,160.0,25.0,TELayerNormMlpDropout
erNormMlpDropout
