model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,2-6B,1,4096,4096,189.84960317611694,1945.1904296875,30.0,60.0,40.0,334.0,0.015625,20.0,270.0,LanguageModelEmbedding
GPT,2-6B,2,4096,4096,515.4816150665283,2271.014404296875,60.0,140.0,80.0,378.0,0.03125,40.0,270.0,LanguageModelEmbedding
GPT,2-6B,3,4096,4096,926.3104438781738,2603.0080795288086,90.0,210.0,120.0,422.0,0.046875,60.0,270.0,LanguageModelEmbedding
GPT,2-6B,1,4096,4096,16122.470092773438,13148.773193359375,828.20703125,1171.79296875,8.140625,0.0,20.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,2,4096,4096,32192.10205078125,25140.66162109375,1640.1640625,2359.8359375,0.03125,0.0,40.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,3,4096,4096,48616.03698730469,37389.10827636719,2460.24609375,3539.75390625,0.046875,0.0,60.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,1,4096,4096,1782.374382019043,4483.686256408691,134.5322265625,0.0,19.96875,0.0,20.0,20.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,2,4096,4096,3800.883102416992,8654.233932495117,301.0634765625,0.0,39.9375,2.0,40.0,40.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,3,4096,4096,5908.454513549805,13012.607192993164,451.9599609375,0.0,59.90625,384.0,60.0,60.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,1,4096,4096,2052.3008346557617,4708.352088928223,210.03125,0.0,19.978515625,0.0,20.0,20.0,100.0,TELayerNormMlpDropout
GPT,2-6B,2,4096,4096,4381.695938110352,9492.480087280273,420.0625,0.0,39.9375,160.0,40.0,40.0,100.0,TELayerNormMlpDropout
GPT,2-6B,3,4096,4096,6697.574615478516,14565.579986572266,630.09375,0.0,59.90625,590.0,60.0,60.0,100.0,TELayerNormMlpDropout
