models,node_num,nstage,mbs,iteration_time,checkpoint_time,load_checkpoint_time
gpt3_350M,8,1,8,18470.8,16.814680814743042,10.357000589370728
gpt3_350M,10,1,8,15204.3,30.069659948349,11.774185419082642
gpt3_350M,12,1,8,12929.2,30.058141708374023,19.27047896385193
gpt3_350M,14,1,8,11191.1,30.082741737365723,18.704102277755737
gpt3_350M,16,1,8,9466.4,30.09256076812744,18.964494943618774
gpt3_350M,18,1,8,9049.3,30.09554433822632,19.27271032333374
gpt3_350M,20,1,8,7907.7,30.105573177337646,19.638293743133545
gpt3_350M,22,1,8,7274.4,30.172022342681885,19.892324686050415
gpt3_350M,24,1,8,6706.7,30.188164234161377,19.38708257675171
gpt3_1_3B,8,2,4,65334.7,29.210601091384888,11.583501100540161
gpt3_1_3B,10,2,4,52999.3,30.057271718978882,10.522547960281372
gpt3_1_3B,12,2,4,44443.9,30.068870544433594,27.967939376831055
gpt3_1_3B,14,2,4,38288.2,30.076270580291748,26.741855144500732
gpt3_1_3B,16,2,4,33204.8,30.086347818374634,28.007686614990234
gpt3_1_3B,18,2,4,29911.9,30.08721399307251,24.11807608604431
gpt3_1_3B,20,2,4,26674.7,30.091187953948975,25.170148134231567
gpt3_1_3B,22,2,4,24685.4,30.200622081756592,25.168063640594482
gpt3_1_3B,24,2,4,23063.7,30.186250686645508,25.632517337799072
gpt3_2_7B,8,4,4,121999.8,39.357837200164795,10.181777477264404
gpt3_2_7B,10,5,8,106487.0,32.25250840187073,20.715348482131958
gpt3_2_7B,12,4,4,83766.3,36.823545694351196,38.07725119590759
gpt3_2_7B,14,7,8,79542.1,30.074512720108032,32.71923494338989
gpt3_2_7B,16,4,4,62174.1,37.75280523300171,35.38943862915039
gpt3_2_7B,18,6,4,56992.9,32.004420042037964,22.471484661102295
gpt3_2_7B,20,4,4,52099.3,41.13424515724182,27.166701316833496
gpt3_2_7B,22,11,8,55178.0,39.31004786491394,11.6849365234375
gpt3_2_7B,24,4,4,43000.7,36.49476099014282,24.90848708152771
gpt3_6_7B,8,8,4,291705.8,76.63268446922302,11.983688831329346
gpt3_6_7B,10,10,4,241248.7,61.54402685165405,65.06678342819214
gpt3_6_7B,12,6,2,162895.1,75.79498219490051,92.50305080413818
gpt3_6_7B,14,7,2,134193.0,68.53757238388062,79.8461217880249
gpt3_6_7B,16,8,2,135687.5,77.39305377006531,63.019493103027344
gpt3_6_7B,18,6,2,108943.5,76.18337631225586,56.310205936431885
gpt3_6_7B,20,10,4,121597.0,59.45539569854736,40.50340676307678
gpt3_6_7B,22,11,4,97254.5,51.46634364128113,28.60084867477417
gpt3_6_7B,24,8,4,100608.9,77.40424585342407,54.83458733558655
gpt3_13B,12,12,1,342504.4,89.18057918548584,68.26217246055603
gpt3_13B,14,14,1,280841.7,87.05459761619568,48.140522480010986
gpt3_13B,16,16,4,265924.4,95.26400947570801,47.59603714942932
gpt3_13B,18,18,2,225300.7,97.67761659622192,49.437211990356445
gpt3_13B,20,20,4,272038.8,95.54316997528076,43.0238139629364
gpt3_13B,22,11,2,155027.8,93.68040823936462,68.50661540031433
gpt3_13B,24,12,2,155771.0,88.82246208190918,71.21984887123108
